English,French,German
No Options,French,German
Execute,French,German
Copy,French,German
Delete,French,German
Move,French,German
Rename,French,German
Select,French,German
Exit,French,German
Do you want to copy,French,German
the selected files,French,German
to,French,German
Copy Confirm,French,German
Yes,French,German
No,French,German
Copying...,French,German
Do you want to overwrite,French,German
Error copying file(s)!,French,German
Copy Success,French,German
File(s) copied successfully!,French,German
Continue,French,German
Delete Confirm,French,German
